,,,,,Passing,,,,,,,,,Rushing,,,
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
80,Jeremy Young*,Southern Mississippi,CUSA,14,161,281,57.3,1769,6.3,6.2,12,6,120,81,224,2.8,4
81,Anthony Turner,Bowling Green State,MAC,10,144,252,57.1,1596,6.3,6.3,11,5,120.8,141,480,3.4,5
82,Willie Tuitama,Arizona,Pac-10,10,118,211,55.9,1335,6.3,5.7,7,6,114.3,35,-166,-4.7,0
83,Perry Patterson,Syracuse,Big East,12,158,300,52.7,1865,6.2,6.4,12,4,115.4,82,-174,-2.1,1
84,Karsten Sween,Wyoming,MWC,9,128,212,60.4,1304,6.2,5.3,9,8,118.5,55,-88,-1.6,2
85,Omar Haugabook*,Troy,Sun Belt,13,241,393,61.3,2401,6.1,5.2,21,17,121.6,140,313,2.2,5
86,Rocky Hinds,UNLV,MWC,12,194,359,54,2148,6,4.8,8,13,104.4,49,-49,-1,1
87,Daniel Evans,North Carolina State,ACC,12,163,307,53.1,1843,6,4.8,6,11,102.8,37,-13,-0.4,0
88,Reggie Ball*,Georgia Tech,ACC,13,135,304,44.4,1820,6,5.2,20,14,107.2,122,354,2.9,2
89,Corey Leonard,Arkansas State,Sun Belt,12,109,222,49.1,1321,6,5,8,8,103.8,116,331,2.9,2
90,Ryan Cubit*,Western Michigan,MAC,11,224,365,61.4,2138,5.9,5.1,16,13,117.9,34,-60,-1.8,0
91,Jerry Babb,Louisiana,Sun Belt,12,140,262,53.4,1535,5.9,4.1,9,14,103.3,104,359,3.5,6
92,Brent Schaeffer,Ole Miss,SEC,12,115,244,47.1,1442,5.9,4.8,9,10,100.7,94,100,1.1,1
93,Bernard Jackson,Colorado,Big 12,12,108,219,49.3,1298,5.9,5.1,7,7,103.3,155,677,4.4,7
94,Juice Williams,Illinois,Big Ten,12,103,261,39.5,1489,5.7,4.8,9,9,91.9,154,576,3.7,2
95,Tom Brandstater,Fresno State,WAC,11,146,268,54.5,1490,5.6,4.2,13,14,106.7,32,86,2.7,1
96,Andy Schmitt,Eastern Michigan,MAC,9,131,213,61.5,1182,5.5,4.5,2,6,105.6,107,461,4.3,4
97,Austen Everson*,Ohio,MAC,13,137,253,54.2,1356,5.4,4.5,7,8,102,104,357,3.4,2
98,Jameel Sewell,Virginia,ACC,11,143,247,57.9,1342,5.4,4.7,5,6,105.4,95,200,2.1,4
99,Josh Padrick,Florida International,Sun Belt,12,213,388,54.9,2014,5.2,3.8,5,14,95.5,57,-146,-2.6,0
100,David Pevoto,Army,Ind,10,106,193,54.9,1012,5.2,2.6,6,14,94.7,36,14,0.4,1
101,Aaron Opelt,Toledo,MAC,9,102,188,54.3,875,4.7,4.1,6,5,98.6,80,261,3.3,4
